The Noose,1927,1,ACTOR,Richard Barthelmess,FALSE
The Last Command,1927,1,ACTOR,Emil Jannings,TRUE
A Ship Comes In,1927,1,ACTRESS,Louise Dresser,FALSE
7th Heaven,1927,1,ACTRESS,Janet Gaynor,TRUE
Sadie Thompson,1927,1,ACTRESS,Gloria Swanson,FALSE
Sunrise,1927,1,ART DIRECTION,Rochus Gliese,FALSE
The Dove;,1927,1,ART DIRECTION,William Cameron Menzies,TRUE
7th Heaven,1927,1,ART DIRECTION,Harry Oliver,FALSE
The Devil Dancer;,1927,1,CINEMATOGRAPHY,George Barnes,FALSE
Sunrise,1927,1,CINEMATOGRAPHY,Charles Rosher,TRUE
Sunrise,1927,1,CINEMATOGRAPHY,Karl Struss,TRUE
Two Arabian Knights,1927,1,DIRECTING (Comedy Picture),Lewis Milestone,TRUE
Speedy,1927,1,DIRECTING (Comedy Picture),Ted Wilde,FALSE
7th Heaven,1927,1,DIRECTING (Dramatic Picture),Frank Borzage,TRUE
Sorrell and Son,1927,1,DIRECTING (Dramatic Picture),Herbert Brenon,FALSE
The Crowd,1927,1,DIRECTING (Dramatic Picture),King Vidor,FALSE
,1927,1,ENGINEERING EFFECTS,Ralph Hammeras,FALSE
Wings,1927,1,ENGINEERING EFFECTS,Roy Pomeroy,TRUE
,1927,1,ENGINEERING EFFECTS,Nugent Slaughter,FALSE
The Racket,1927,1,OUTSTANDING PICTURE,The Caddo Company,FALSE
7th Heaven,1927,1,OUTSTANDING PICTURE,Fox,FALSE
Wings,1927,1,OUTSTANDING PICTURE,Paramount Famous Lasky,TRUE
Sunrise,1927,1,UNIQUE AND ARTISTIC PICTURE,Fox,TRUE
The Crowd,1927,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,FALSE
Chang,1927,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,FALSE
The Jazz Singer,1927,1,WRITING (Adaptation),Alfred Cohn,FALSE
Glorious Betsy,1927,1,WRITING (Adaptation),Anthony Coldeway,FALSE
7th Heaven,1927,1,WRITING (Adaptation),Benjamin Glazer,TRUE
The Last Command,1927,1,WRITING (Original Story),Lajos Biro,FALSE
Underworld,1927,1,WRITING (Original Story),Ben Hecht,TRUE
The Private Life of Helen of Troy,1927,1,WRITING (Title Writing),Gerald Duffy,FALSE
,1927,1,WRITING (Title Writing),Joseph Farnham,TRUE
,1927,1,WRITING (Title Writing),"George Marion, Jr.",FALSE
,1927,1,SPECIAL AWARD, Warner Bros.,TRUE
,1927,1,SPECIAL AWARD, Charles Chaplin,TRUE
Thunderbolt,1928,2,ACTOR,George Bancroft,FALSE
In Old Arizona,1928,2,ACTOR,Warner Baxter,TRUE
Alibi,1928,2,ACTOR,Chester Morris,FALSE
The Valiant,1928,2,ACTOR,Paul Muni,FALSE
The Patriot,1928,2,ACTOR,Lewis Stone,FALSE
Madame X,1928,2,ACTRESS,Ruth Chatterton,FALSE
The Barker,1928,2,ACTRESS,Betty Compson,FALSE
The Letter,1928,2,ACTRESS,Jeanne Eagels,FALSE
The Divine Lady,1928,2,ACTRESS,Corinne Griffith,FALSE
The Broadway Melody,1928,2,ACTRESS,Bessie Love,FALSE
Coquette,1928,2,ACTRESS,Mary Pickford,TRUE
The Patriot,1928,2,ART DIRECTION,Hans Dreier,FALSE
The Bridge of San Luis Rey,1928,2,ART DIRECTION,Cedric Gibbons,TRUE
Dynamite,1928,2,ART DIRECTION,Mitchell Leisen,FALSE
Alibi;,1928,2,ART DIRECTION,William Cameron Menzies,FALSE
Street Angel,1928,2,ART DIRECTION,Harry Oliver,FALSE
Our Dancing Daughters,1928,2,CINEMATOGRAPHY,George Barnes,FALSE
White Shadows in the South Seas,1928,2,CINEMATOGRAPHY,Clyde De Vinna,TRUE
In Old Arizona,1928,2,CINEMATOGRAPHY,Arthur Edeson,FALSE
Four Devils;,1928,2,CINEMATOGRAPHY,Ernest Palmer,FALSE
The Divine Lady,1928,2,CINEMATOGRAPHY,John Seitz,FALSE
Madame X,1928,2,DIRECTING,Lionel Barrymore,FALSE
The Broadway Melody,1928,2,DIRECTING,Harry Beaumont,FALSE
In Old Arizona,1928,2,DIRECTING,Irving Cummings,FALSE
The Divine Lady,1928,2,DIRECTING,Frank Lloyd,TRUE
Drag;,1928,2,DIRECTING,Frank Lloyd,FALSE
The Patriot,1928,2,DIRECTING,Ernst Lubitsch,FALSE
Alibi,1928,2,OUTSTANDING PICTURE,Feature Productions,FALSE
In Old Arizona,1928,2,OUTSTANDING PICTURE,Fox,FALSE
The Broadway Melody,1928,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,TRUE
Hollywood Revue,1928,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,FALSE
The Patriot,1928,2,OUTSTANDING PICTURE,Paramount Famous Lasky,FALSE
In Old Arizona;,1928,2,WRITING,Tom Barry,FALSE
The Cop;,1928,2,WRITING,Elliott Clawson,FALSE
The Last of Mrs. Cheyney,1928,2,WRITING,Hans Kraly,FALSE
The Patriot,1928,2,WRITING,Hans Kraly,TRUE
Our Dancing Daughters,1928,2,WRITING,Josephine Lovett,FALSE
A Woman of Affairs;,1928,2,WRITING,Bess Meredyth,FALSE
Disraeli,1929,3,ACTOR,George Arliss,TRUE
The Green Goddess,1929,3,ACTOR,George Arliss,FALSE
The Big House,1929,3,ACTOR,Wallace Beery,FALSE
The Big Pond,1929,3,ACTOR,Maurice Chevalier,FALSE
Bulldog Drummond,1929,3,ACTOR,Ronald Colman,FALSE
The Rogue Song,1929,3,ACTOR,Lawrence Tibbett,FALSE
The Devil's Holiday,1929,3,ACTRESS,Nancy Carroll,FALSE
Sarah and Son,1929,3,ACTRESS,Ruth Chatterton,FALSE
Anna Christie,1929,3,ACTRESS,Greta Garbo,FALSE
The Divorcee,1929,3,ACTRESS,Norma Shearer,TRUE
Their Own Desire,1929,3,ACTRESS,Norma Shearer,FALSE
The Trespasser,1929,3,ACTRESS,Gloria Swanson,FALSE
Bulldog Drummond,1929,3,ART DIRECTION,(William Cameron Menzies),FALSE
King of Jazz,1929,3,ART DIRECTION,Herman Rosse,TRUE
The Love Parade,1929,3,ART DIRECTION,(Hans Dreier),FALSE
Sally,1929,3,ART DIRECTION,(Jack Okey),FALSE
The Vagabond King,1929,3,ART DIRECTION,(Hans Dreier),FALSE
All Quiet on the Western Front,1929,3,CINEMATOGRAPHY,(Arthur Edeson),FALSE
Anna Christie,1929,3,CINEMATOGRAPHY,(William Daniels),FALSE
Hell's Angels,1929,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",FALSE
The Love Parade,1929,3,CINEMATOGRAPHY,(Victor Milner),FALSE
With Byrd at the South Pole,1929,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",TRUE
Anna Christie;,1929,3,DIRECTING,Clarence Brown,FALSE
The Divorcee,1929,3,DIRECTING,Robert Leonard,FALSE
The Love Parade,1929,3,DIRECTING,Ernst Lubitsch,FALSE
All Quiet on the Western Front,1929,3,DIRECTING,Lewis Milestone,TRUE
Hallelujah,1929,3,DIRECTING,King Vidor,FALSE
All Quiet on the Western Front,1929,3,OUTSTANDING PRODUCTION,Universal,TRUE
The Big House,1929,3,OUTSTANDING PRODUCTION,Cosmopolitan,FALSE
Disraeli,1929,3,OUTSTANDING PRODUCTION,Warner Bros.,FALSE
The Divorcee,1929,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,FALSE
The Love Parade,1929,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,FALSE
The Big House,1929,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",TRUE
The Case of Sergeant Grischa,1929,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",FALSE
The Love Parade,1929,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",FALSE
Raffles,1929,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",FALSE
Song of the Flame,1929,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",FALSE
All Quiet on the Western Front,1929,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",FALSE
The Big House,1929,3,WRITING,Frances Marion,TRUE
Disraeli,1929,3,WRITING,(Julian Josephson),FALSE
The Divorcee,1929,3,WRITING,(John Meehan),FALSE
Street of Chance,1929,3,WRITING,(Howard Estabrook),FALSE
A Free Soul,1930,4,ACTOR,Lionel Barrymore,TRUE
Skippy,1930,4,ACTOR,Jackie Cooper,FALSE
Cimarron,1930,4,ACTOR,Richard Dix,FALSE
The Royal Family of Broadway,1930,4,ACTOR,Fredric March,FALSE
The Front Page,1930,4,ACTOR,Adolphe Menjou,FALSE
Morocco,1930,4,ACTRESS,Marlene Dietrich,FALSE
Min and Bill,1930,4,ACTRESS,Marie Dressler,TRUE
Cimarron,1930,4,ACTRESS,Irene Dunne,FALSE
Holiday,1930,4,ACTRESS,Ann Harding,FALSE
A Free Soul,1930,4,ACTRESS,Norma Shearer,FALSE
Cimarron,1930,4,ART DIRECTION,Max Rée,TRUE
Just Imagine,1930,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",FALSE
Morocco,1930,4,ART DIRECTION,Hans Dreier,FALSE
Svengali,1930,4,ART DIRECTION,Anton Grot,FALSE
Whoopee!,1930,4,ART DIRECTION,Richard Day,FALSE
Cimarron,1930,4,CINEMATOGRAPHY,Edward Cronjager,FALSE
Morocco,1930,4,CINEMATOGRAPHY,Lee Garmes,FALSE
The Right to Love,1930,4,CINEMATOGRAPHY,Charles Lang,FALSE
Svengali,1930,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",FALSE
Tabu,1930,4,CINEMATOGRAPHY,Floyd Crosby,TRUE
Cimarron,1930,4,DIRECTING,Wesley Ruggles,FALSE
A Free Soul,1930,4,DIRECTING,Clarence Brown,FALSE
The Front Page,1930,4,DIRECTING,Lewis Milestone,FALSE
Morocco,1930,4,DIRECTING,Josef Von Sternberg,FALSE
Skippy,1930,4,DIRECTING,Norman Taurog,TRUE
Cimarron,1930,4,OUTSTANDING PRODUCTION,RKO Radio,TRUE
East Lynne,1930,4,OUTSTANDING PRODUCTION,Fox,FALSE
The Front Page,1930,4,OUTSTANDING PRODUCTION,The Caddo Company,FALSE
Skippy,1930,4,OUTSTANDING PRODUCTION,Paramount Publix,FALSE
Trader Horn,1930,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,FALSE
,1930,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,FALSE
,1930,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,FALSE
,1930,4,SOUND RECORDING,Paramount Publix Studio Sound Department,TRUE
,1930,4,SOUND RECORDING,RKO Radio Studio Sound Department,FALSE
Cimarron,1930,4,WRITING (Adaptation),Howard Estabrook,TRUE
The Criminal Code,1930,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",FALSE
Holiday,1930,4,WRITING (Adaptation),Horace Jackson,FALSE
Little Caesar,1930,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",FALSE
Skippy,1930,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",FALSE
The Dawn Patrol,1930,4,WRITING (Original Story),John Monk Saunders,TRUE
The Doorway to Hell,1930,4,WRITING (Original Story),Rowland Brown,FALSE
